work_order,date,mileage,service_type,technician,description,parts,hours,disposition,next_service_due
WO-072341,06/05/2024,54723,PM_A,"Alvarez, R. (M-3401)",A-service per SOP FL-14: engine oil and filter; chassis lube (14 zerks); fluid levels checked and topped; lighting audit; wiper blades; horn; walk-around safety inspection,Rotella T4 15W-40 (7 gal); Baldwin PT8397; Fram CA4309 pre-filter element,1.7,Released to service - no defects noted,"PM_A @ 61,000 mi"
WO-072498,06/26/2024,58713,DVIR_repair,"Nguyen, D. (M-3182)",Driver DVIR: front curbside destination sign flickering. R&R sign controller module; verified function across all routes in Owl block,Luminator MAX3000 controller P/N 7-4021,1.2,Repaired - DVIR cleared,n/a
WO-072612,07/10/2024,61373,PM_A,"Bautista, F. (M-3520)",A-service; oil and filter; chassis lube; belt and hose visual - condition satisfactory,Rotella T4 15W-40 (7 gal); Baldwin PT8397,1.5,Released to service,"PM_A @ 68,000 mi"
WO-072755,07/31/2024,65363,tire_rotation,"O'Rourke, K. (M-3287)","Rotate steer to drive positions; tread depth logged (steer 12/32, drive 14/32); lug torque 450 ft-lb; re-torque flagged @ 100 mi",-,0.9,Released - tread within spec,"Rotation @ 78,000 mi"
WO-072889,08/14/2024,68023,brake_inspection,"Alvarez, R. (M-3401)","Air-brake inspection per 49 CFR 396.25: lining thickness front 15/32, rear 17/32 (well above OEM replacement floor); leak-down 1 psi/min (spec <= 3); slack-adjuster stroke within limit; low-pressure warning and parking-brake tests pass",-,1.3,Passed - no adjustment required,"Brake inspection @ 92,000 mi"
WO-073014,08/28/2024,70683,PM_A,"Nguyen, D. (M-3182)",A-service; oil and filter; chassis lube; coolant reservoir topped (0.2 gal); DEF level full,Rotella T4; Baldwin PT8397; Prestone extended-life 50/50,1.6,Released to service,"PM_A @ 77,000 mi"
WO-073151,09/11/2024,73343,DVIR_repair,"Bautista, F. (M-3520)",Driver DVIR: HVAC cabin blower intermittent on speeds 1 and 2. R&R blower motor assembly; bench-tested all four speeds prior to reinstall; verified in-service,MCC blower assembly P/N HV-4488-B,2.4,Repaired - DVIR cleared,n/a
WO-073290,09/25/2024,76003,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; wiper blade replacement driver side; horn function verified,"Rotella T4; Baldwin PT8397; Anco 24"" wiper blade",1.7,Released to service,"PM_A @ 82,000 mi"
WO-073422,10/09/2024,78663,DVIR_repair,"O'Rourke, K. (M-3287)","Driver DVIR: rear-yield ""stop-requested"" interior chime muted. Traced to corroded relay K-12; replaced relay; chime verified full volume",Bosch relay 12V P/N 0332019203,1.1,Repaired - DVIR cleared,n/a
WO-073573,10/23/2024,81323,PM_A,"Nguyen, D. (M-3182)","A-service; oil and filter; chassis lube; wheelchair ramp cycle test (both sides, 3 cycles each) - pass",Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 88,000 mi"
WO-073715,11/06/2024,83983,tire_rotation,"Bautista, F. (M-3520)",Rotate steer to drive; two Bandag S12 recaps installed in inside drive positions; tread depth logged,Bandag S12 recap x2,1.4,Released - within spec,"Rotation @ 96,000 mi"
WO-073848,11/20/2024,86643,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; battery load test both banks - pass; terminal cleaning,Rotella T4; Baldwin PT8397,1.5,Released to service,"PM_A @ 93,000 mi"
WO-074001,12/04/2024,89303,engine,"O'Rourke, K. (M-3287)",Cooling-system service: flush and refill; thermostat inspected; pressure test to 15 psi held 20 min; coolant sample sent to lab (analysis returned within normal wear-metal band),Prestone extended-life (12 gal); Cummins T/S P/N 4936026,3.2,Released to service,"Coolant service @ 149,000 mi"
WO-074145,12/18/2024,91963,PM_A,"Nguyen, D. (M-3182)","A-service; oil and filter; chassis lube; exterior lighting audit (marker, turn, brake, reverse, headlamp low/high) - all functional",Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 98,000 mi"
WO-074310,01/08/2025,95953,PM_B,"Alvarez, R. (M-3401)","B-service (major): A-service items plus transmission fluid and filter, differential fluid, primary and secondary fuel filters, air filter element, belts and hoses inspected, air-dryer purge test - no defects",Allison TES-295; Baldwin BF7815; Fleetguard FF5324; Fleetguard FS19625; Rotella T4,5.8,Released to service,"PM_B @ 120,000 mi"
WO-074455,01/22/2025,98613,DVIR_repair,"Bautista, F. (M-3520)",Driver DVIR: rear cabin LED strip (starboard) flickering. R&R LED strip assembly; verified all 8 ceiling zones,Luminator LED strip P/N LS-40-04,1.3,Repaired - DVIR cleared,n/a
